Image slice depth [cm],"Volumetric gas content (CT, direct) [%]","Volumetric excess ice content (CT, direct) [%]","Volumetric phase A content (CT, direct) [%]","Volumetric phase B content (CT, direct) [%]"
depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr
20.3,0.727,57.455,25.145,16.673
20.305,0.73,57.373,25.123,16.774
20.31,0.722,57.32,25.086,16.873
20.315,0.716,57.219,25.158,16.907
20.32,0.726,57.088,25.223,16.963
20.325,0.726,56.939,25.269,17.066
20.33,0.743,56.776,25.318,17.162
20.335,0.762,56.618,25.383,17.237
20.34,0.78,56.444,25.443,17.334
20.345,0.805,56.159,25.612,17.424
20.35,0.815,55.86,25.852,17.473
20.355,0.825,55.689,25.955,17.531
20.36,0.835,55.504,25.995,17.665
20.365,0.836,55.294,26.047,17.822
20.37,0.826,55.074,26.097,18.002
20.375,0.822,54.95,26.053,18.174
20.38,0.804,54.925,25.899,18.372
20.385,0.798,54.918,25.776,18.509
20.39,0.803,54.945,25.637,18.615
20.395,0.811,54.957,25.496,18.735
20.4,0.829,54.975,25.353,18.843
20.405,0.842,54.942,25.297,18.919
20.41,0.853,54.9,25.271,18.976
20.415,0.857,54.872,25.282,18.988
20.42,0.878,54.84,25.28,19.001
20.425,0.882,54.803,25.356,18.959
20.43,0.882,54.839,25.292,18.987
20.435,0.886,54.819,25.331,18.965
20.44,0.9,54.802,25.35,18.948
20.445,0.896,54.896,25.338,18.87
20.45,0.892,54.89,25.405,18.813
20.455,0.893,54.896,25.472,18.739
20.46,0.89,54.881,25.479,18.75
20.465,0.907,54.899,25.387,18.807
20.47,0.924,54.825,25.371,18.88
20.475,0.926,54.784,25.275,19.015
20.48,0.938,54.711,25.235,19.116
20.485,0.947,54.656,25.212,19.185
20.49,0.978,54.677,25.078,19.267
20.495,1,54.661,25.013,19.327
20.5,1.019,54.631,25.031,19.32
20.505,1.03,54.574,25.051,19.346
20.51,1.052,54.459,25.133,19.355
