id,lat,lon,depth,thickness,totalice_lab,organic_lab,mineral_lab,gas_CT,excessice_CT,phaseA_CT,phaseB_CT,poreice_CT,totalice_CT,organic_CT,mineral_CT
KUR17-C001_2,72.36613,126.27272,20.8,0.99,74.52,4.01,22.62,0.86,52.09,22.25,24.8,25.925939002949615,78.01593900294962,5.022228442375649,16.101832554674736
KUR17-C001_3,72.36613,126.27272,21.7,0.78,67.43,3.49,21.86,0.33,53.09,19.76,26.83,25.111973880297892,78.2019738802979,4.819587044862633,16.65843907483947
KUR17-C001_4,72.36613,126.27272,23.1,1.1,68.12,3.51,13.36,0.31,63.2,18.45,18.04,20.401520648929484,83.6015206489295,3.975690991867336,12.112788359203178
KUR17-C001_5,72.36613,126.27272,24.0,0.95,93.75,1.21,7.52,2.35,73.08,13.36,11.21,13.968158938827614,87.04815893882761,2.7402789801034517,7.861562081068936
KUR17-C001_6,72.36613,126.27272,25.1,0.98,73.13,3.84,16.24,0.24,57.06,21.44,21.25,23.832212221796524,80.89221222179653,4.641413328655888,14.216374449547589
KUR17-C001_7,72.36613,126.27272,26.2,0.97,80.15,3.15,9.75,0.46,69.24,18.72,11.59,17.78357858912258,87.02357858912258,3.531727485386533,8.994693925490884
KUR17-C001_8,72.36613,126.27272,27.3,0.9,67.5,5.39,22.64,0.11,41.92,32.57,25.4,33.21486148996266,75.13486148996266,6.536216557980327,18.218921952057013
KUR17-C001_9,72.36613,126.27272,28.3,0.65,66.78,4.61,21.01,0.1,37.86,32.74,29.29,35.02041838094301,72.88041838094301,6.8513526606073345,20.158228958449648
KUR17-C001_10,72.36613,126.27272,29.2,0.92,81.26,2.9,11.77,0.32,60.59,18.67,20.43,21.589542883961883,82.17954288396189,4.185758935080401,13.324698180957713
KUR17-C001_11,72.36613,126.27272,30.3,0.85,84.35,2.63,9.29,0.7,77.76,14.99,6.55,13.053985180067532,90.81398518006753,2.623794852689073,5.862219967243394
KUR17-C001_12,72.36613,126.27272,31.2,0.87,69.4,4.71,20.56,0.62,51.54,26.21,21.63,27.245820838384148,78.78582083838415,5.348871804675422,15.245307356940431
KUR17-C001_13,72.36613,126.27272,32.3,0.77,67.76,5.74,27.93,0.57,38.91,26.55,33.97,32.837757393280086,71.74775739328008,6.320189323781815,21.3620532829381
